LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,scaled_value
AUT,GDP,TOT,USD_CAP,A,2020,57235.67389,,0.721393687
BEL,GDP,TOT,USD_CAP,A,2020,54652.16434,,0.544714465
CAN,GDP,TOT,USD_CAP,A,2020,47226.35728,,0.036883631
CHN,GDP,TOT,USD_CAP,A,2020,17176.86566,,-2.01811972
CZE,GDP,TOT,USD_CAP,A,2020,42817.8675,,-0.264601045
DEU,GDP,TOT,USD_CAP,A,2020,56454.18111,P,0.667949512
DNK,GDP,TOT,USD_CAP,A,2020,60768.06049,,0.96296404
ESP,GDP,TOT,USD_CAP,A,2020,38030.72853,,-0.591980515
EST,GDP,TOT,USD_CAP,A,2020,39460.61477,,-0.494194467
FIN,GDP,TOT,USD_CAP,A,2020,52294.34249,,0.383469415
FRA,GDP,TOT,USD_CAP,A,2020,47982.35961,,0.088584583
GBR,GDP,TOT,USD_CAP,A,2020,45756.80168,,-0.063615296
HUN,GDP,TOT,USD_CAP,A,2020,34169.92236,,-0.856010593
IRL,GDP,TOT,USD_CAP,A,2020,94646.64076,,3.279828393
ISL,GDP,TOT,USD_CAP,A,2020,54330.38525,,0.522708865
ISR,GDP,TOT,USD_CAP,A,2020,40073.05867,,-0.452311088
ITA,GDP,TOT,USD_CAP,A,2020,43150.11598,,-0.241879472
JPN,GDP,TOT,USD_CAP,A,2020,41867.15339,,-0.329617809
KOR,GDP,TOT,USD_CAP,A,2020,44694.9398,,-0.136233154
LTU,GDP,TOT,USD_CAP,A,2020,40211.8638,,-0.442818581
LVA,GDP,TOT,USD_CAP,A,2020,32810.26706,,-0.948993737
NOR,GDP,TOT,USD_CAP,A,2020,65135.92067,,1.261670168
POL,GDP,TOT,USD_CAP,A,2020,34896.8226,,-0.806299854
SVK,GDP,TOT,USD_CAP,A,2020,32912.70989,,-0.941987949
SVN,GDP,TOT,USD_CAP,A,2020,40885.50612,,-0.396750007
SWE,GDP,TOT,USD_CAP,A,2020,56140.55135,,0.646501222
TUR,GDP,TOT,USD_CAP,A,2020,27973.8993,,-1.27973983
USA,GDP,TOT,USD_CAP,A,2020,63480.86122,,1.148485135
