LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,
AUT,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,76.825,,-0.018092936
BEL,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,77.926,,0.115986155
CAN,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,73.697,,-0.399018817
CHN,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,54.806,,-2.699552972
CZE,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,87.702,,1.306501316
DEU,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,85.098,,0.989387826
DNK,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,84.756,,0.94773928
ESP,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,73.145,,-0.466241032
EST,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,77.103,,0.01576173
FIN,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,79.059,,0.253962186
FRA,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,84.799,,0.952975793
GBR,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,83.069,,0.742297476
HUN,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,70.793,,-0.75266612
IRL,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,78.034,,0.129138328
ISL,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,83.325,,0.773472996
ISR,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,68.194,P,-1.069170713
ITA,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,75.926,,-0.127572593
JPN,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,84.858,,0.960160776
KOR,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,61.365,,-1.900802058
LTU,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,70.165,,-0.829143567
LVA,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,63.608,,-1.627650922
NOR,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,85.717,,1.064769258
POL,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,72.266,,-0.573285102
SVK,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,80.271,,0.401558787
SVN,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,73.166,,-0.463683665
SWE,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,86.18,,1.121153108
TUR,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,78.845,,0.2279014
USA,HEALTHEXP,COMPULSORY,PC_HEALTHXP,A,2020,84.562,,0.924114081
