LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,scaled_value
AUT,HEALTHEXP,TOT,USD_CAP,A,2020,5863.664,,0.689385342
BEL,HEALTHEXP,TOT,USD_CAP,A,2020,5509.054,,0.527158239
CAN,HEALTHEXP,TOT,USD_CAP,A,2020,5879.075,D,0.696435572
CHN,HEALTHEXP,TOT,USD_CAP,A,2020,978.788,,-1.545349389
CZE,HEALTHEXP,TOT,USD_CAP,A,2020,3804.101,,-0.252824239
DEU,HEALTHEXP,TOT,USD_CAP,A,2020,6945.909,,1.184491152
DNK,HEALTHEXP,TOT,USD_CAP,A,2020,5697.193,,0.613228132
ESP,HEALTHEXP,TOT,USD_CAP,A,2020,3715.968,,-0.293143353
EST,HEALTHEXP,TOT,USD_CAP,A,2020,2731.011,,-0.743741816
FIN,HEALTHEXP,TOT,USD_CAP,A,2020,4614.556,,0.11794299
FRA,HEALTHEXP,TOT,USD_CAP,A,2020,5453.182,,0.501597897
GBR,HEALTHEXP,TOT,USD_CAP,A,2020,4997.928,,0.293328143
HUN,HEALTHEXP,TOT,USD_CAP,A,2020,2421.807,,-0.885196567
IRL,HEALTHEXP,TOT,USD_CAP,A,2020,5378.183,,0.467287329
ISL,HEALTHEXP,TOT,USD_CAP,A,2020,4632.283,,0.126052744
ISR,HEALTHEXP,TOT,USD_CAP,A,2020,2875.281,P,-0.677741128
ITA,HEALTHEXP,TOT,USD_CAP,A,2020,3753.088,,-0.276161683
JPN,HEALTHEXP,TOT,USD_CAP,A,2020,4619.518,,0.120213007
KOR,HEALTHEXP,TOT,USD_CAP,A,2020,3590.183,,-0.350687518
LTU,HEALTHEXP,TOT,USD_CAP,A,2020,2878.482,,-0.676276733
LVA,HEALTHEXP,TOT,USD_CAP,A,2020,2227.896,,-0.973907037
NOR,HEALTHEXP,TOT,USD_CAP,A,2020,6581.629,,1.017840214
POL,HEALTHEXP,TOT,USD_CAP,A,2020,2286.109,,-0.947275734
SVK,HEALTHEXP,TOT,USD_CAP,A,2020,2125.666,,-1.020675252
SVN,HEALTHEXP,TOT,USD_CAP,A,2020,3474.147,,-0.403771707
SWE,HEALTHEXP,TOT,USD_CAP,A,2020,5733.534,,0.629853425
TUR,HEALTHEXP,TOT,USD_CAP,A,2020,1304.709,,-1.39624694
USA,HEALTHEXP,TOT,USD_CAP,A,2020,11915.945,,3.458184909
