LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,
AUT,GDEXPRD,TOT,PC_GDP,A,2020,3.201485567,,0.675219391
BEL,GDEXPRD,TOT,PC_GDP,A,2020,3.396971994,,0.843820849
CAN,GDEXPRD,TOT,PC_GDP,A,2020,1.894843645,,-0.451721932
CHN,GDEXPRD,TOT,PC_GDP,A,2020,2.406660076,,-0.010294884
CZE,GDEXPRD,TOT,PC_GDP,A,2020,1.985985354,,-0.373114812
DEU,GDEXPRD,TOT,PC_GDP,A,2020,3.131357974,,0.614736346
DNK,GDEXPRD,TOT,PC_GDP,A,2020,2.972581601,,0.477796261
ESP,GDEXPRD,TOT,PC_GDP,A,2020,1.410389548,,-0.869549749
EST,GDEXPRD,TOT,PC_GDP,A,2020,1.750920468,,-0.57585156
FIN,GDEXPRD,TOT,PC_GDP,A,2020,2.912434149,,0.425920802
FRA,GDEXPRD,TOT,PC_GDP,A,2020,2.281886124,,-0.117908853
GBR,GDEXPRD,TOT,PC_GDP,A,2020,2.931437992,,0.442311074
HUN,GDEXPRD,TOT,PC_GDP,A,2020,1.593150011,,-0.711924071
IRL,GDEXPRD,TOT,PC_GDP,A,2020,1.224594353,,-1.029792796
ISL,GDEXPRD,TOT,PC_GDP,A,2020,2.49069205,,0.062180292
ISR,GDEXPRD,TOT,PC_GDP,A,2020,5.705550621,,2.834903952
ITA,GDEXPRD,TOT,PC_GDP,A,2020,1.506800551,,-0.786398013
JPN,GDEXPRD,TOT,PC_GDP,A,2020,3.268971126,,0.733423758
KOR,GDEXPRD,TOT,PC_GDP,A,2020,4.795714434,,2.050196238
LTU,GDEXPRD,TOT,PC_GDP,A,2020,1.133606253,,-1.108267432
LVA,GDEXPRD,TOT,PC_GDP,A,2020,0.729913549,,-1.456440855
NOR,GDEXPRD,TOT,PC_GDP,A,2020,2.244362754,,-0.150271687
POL,GDEXPRD,TOT,PC_GDP,A,2020,1.386083638,,-0.890512902
SVK,GDEXPRD,TOT,PC_GDP,A,2020,0.897806807,,-1.311637717
SVN,GDEXPRD,TOT,PC_GDP,A,2020,2.141555207,,-0.238940259
SWE,GDEXPRD,TOT,PC_GDP,A,2020,3.489603532,,0.923712904
TUR,GDEXPRD,TOT,PC_GDP,A,2020,1.367573612,,-0.90647727
USA,GDEXPRD,TOT,PC_GDP,A,2020,3.467770953,,0.904882928
