LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,
AUT,MEDICALDOC,TOT,1000HAB,A,2020,5.32,,2.101691994
BEL,MEDICALDOC,TOT,1000HAB,A,2020,3.21,,-0.447434736
CAN,MEDICALDOC,TOT,1000HAB,A,2020,2.77,,-0.979006186
CHN,MEDICALDOC,TOT,1000HAB,A,2020,2.39,D,-1.438090621
CZE,MEDICALDOC,TOT,1000HAB,A,2020,4.1,E,0.627789335
DEU,MEDICALDOC,TOT,1000HAB,A,2020,4.47,,1.074792601
DNK,MEDICALDOC,TOT,1000HAB,A,2020,4.38,,0.966062076
ESP,MEDICALDOC,TOT,1000HAB,A,2020,4.58,E,1.207685463
EST,MEDICALDOC,TOT,1000HAB,A,2020,3.48,,-0.121243164
FIN,MEDICALDOC,TOT,1000HAB,A,2020,3.61,,0.035812038
FRA,MEDICALDOC,TOT,1000HAB,A,2020,3.36,D,-0.266217196
GBR,MEDICALDOC,TOT,1000HAB,A,2020,3.03,E,-0.664895784
HUN,MEDICALDOC,TOT,1000HAB,A,2020,3.14,B,-0.532002921
IRL,MEDICALDOC,TOT,1000HAB,A,2020,3.46,,-0.145405502
ISL,MEDICALDOC,TOT,1000HAB,A,2020,4.32,,0.89357506
ISR,MEDICALDOC,TOT,1000HAB,A,2020,3.31,,-0.326623042
ITA,MEDICALDOC,TOT,1000HAB,A,2020,4,,0.506977642
JPN,MEDICALDOC,TOT,1000HAB,A,2020,2.6,,-1.184386065
KOR,MEDICALDOC,TOT,1000HAB,A,2020,2.51,,-1.293116589
LTU,MEDICALDOC,TOT,1000HAB,A,2020,4.48,,1.08687377
LVA,MEDICALDOC,TOT,1000HAB,A,2020,3.34,,-0.290379534
NOR,MEDICALDOC,TOT,1000HAB,A,2020,5.09,,1.823825099
POL,MEDICALDOC,TOT,1000HAB,A,2020,3.33,,-0.302460704
SVK,MEDICALDOC,TOT,1000HAB,A,2020,3.67,,0.108299054
SVN,MEDICALDOC,TOT,1000HAB,A,2020,3.3,,-0.338704212
SWE,MEDICALDOC,TOT,1000HAB,A,2020,4.32,,0.89357506
TUR,MEDICALDOC,TOT,1000HAB,A,2020,2.05,,-1.848850379
USA,MEDICALDOC,TOT,1000HAB,A,2020,2.63,,-1.148142557
