LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,DR,Value,scaled_DR
AUT,YNGPOP,TOT,PC_POP,A,2020,14.39333082,,33.54554217,19.15221135,-0.639302156
BEL,YNGPOP,TOT,PC_POP,A,2020,16.79145225,,36.0563427,19.26489045,0.310117766
CAN,YNGPOP,TOT,PC_POP,A,2020,15.8878802,,33.8960737,18.00819351,-0.506754145
CHN,YNGPOP,TOT,PC_POP,A,2020,18.02512047,,30.62338244,12.59826197,-1.744271121
CZE,YNGPOP,TOT,PC_POP,A,2020,16.02821641,,36.0772344,20.04901798,0.318017635
DEU,YNGPOP,TOT,PC_POP,A,2020,13.74989227,,35.61253088,21.86263861,0.142297273
DNK,YNGPOP,TOT,PC_POP,A,2020,16.30891054,,36.34864386,20.03973332,0.420646874
ESP,YNGPOP,TOT,PC_POP,A,2020,14.40273961,,34.04430535,19.64156574,-0.450702666
EST,YNGPOP,TOT,PC_POP,A,2020,16.4414782,,36.63141727,20.18993907,0.527573214
FIN,YNGPOP,TOT,PC_POP,A,2020,15.66040244,,38.15057116,22.49016872,1.10201748
FRA,YNGPOP,TOT,PC_POP,A,2020,17.76137936,,38.28272895,20.52134959,1.15199088
GBR,YNGPOP,TOT,PC_POP,A,2020,17.85127715,,36.4982776,18.64700044,0.477228531
HUN,YNGPOP,TOT,PC_POP,A,2020,14.55654081,,34.65315878,20.09661797,-0.220474271
IRL,YNGPOP,TOT,PC_POP,A,2020,20.16449008,,34.63258143,14.46809135,-0.228255274
ISL,YNGPOP,TOT,PC_POP,A,2020,18.72117709,,33.29649459,14.5753175,-0.733475601
ISR,YNGPOP,TOT,PC_POP,A,2020,28.06181541,,40.11585099,12.05403558,1.845157287
ITA,YNGPOP,TOT,PC_POP,A,2020,12.92429387,,36.31019412,23.38590025,0.406107707
JPN,YNGPOP,TOT,PC_POP,A,2020,11.91602604,,40.47547598,28.55944994,1.981143849
KOR,YNGPOP,TOT,PC_POP,A,2020,12.16498365,,27.89117667,15.72619302,-2.77741197
LTU,YNGPOP,TOT,PC_POP,A,2020,15.11894049,,35.03070788,19.91176739,-0.077709988
LVA,YNGPOP,TOT,PC_POP,A,2020,16.00064827,,36.65656729,20.65591903,0.5370833
NOR,YNGPOP,TOT,PC_POP,A,2020,17.21098279,,34.94090126,17.72991848,-0.111668956
POL,YNGPOP,TOT,PC_POP,A,2020,15.34140496,,33.74476358,18.40335861,-0.563969698
SVK,YNGPOP,TOT,PC_POP,A,2020,15.86434228,,32.69212415,16.82778187,-0.962008823
SVN,YNGPOP,TOT,PC_POP,A,2020,15.07800008,,35.54605771,20.46805763,0.117161484
SWE,YNGPOP,TOT,PC_POP,A,2020,17.73621415,,37.79458314,20.05836898,0.967406182
TUR,YNGPOP,TOT,PC_POP,A,2020,22.95420473,,32.2510471,9.296842365,-1.128795206
USA,YNGPOP,TOT,PC_POP,A,2020,18.27698913,,34.81533576,16.53834664,-0.159149585
