year,id,inv_w1,inviapply_w1,dige_w1,lerner_w1,bsize_w1,post_w1,bodi_w1,age_w1,fixpro_w1,exp_w1,flows_w1,subsidies_w1,profit_w1,industrycode,hyid,yb
2015,1,4.11087,2.89037,2.420263,1.85937,1.94591,0,0.428571,3.2581,0.119261,0.236315,-0.020188,1.16328,10.0576,C37,19,10
2016,1,3.17805,1.60944,2.952974,2.51934,1.94591,0,0.428571,3.29584,0.022316,0.207211,-0.006851,1.00322,11.0711,C37,19,10
2017,1,3.80666,2.56495,3.419067,2.23263,1.94591,0,0.428571,3.3322,0.022952,0.199996,-0.004959,0.804766,11.5318,C37,19,10
2007,2,2.94444,2.3979,0.2011766,1.75525,2.19722,1,0.333333,3.13549,0.612648,0.069728,0.130406,0.106012,11.058,C30,12,51
2008,2,2.30259,1.79176,0.2487143,1.69955,2.19722,1,0.333333,3.17805,0.534249,0.077795,0.099287,0.360451,10.8238,C30,12,51
2009,2,3.98898,3.13549,0.9951025,2.23779,2.19722,0,0.333333,3.21888,0.637145,0.079552,0.153045,0.218679,11.5019,C30,12,51
2010,2,4.15888,3.17805,1.043737,2.5547,2.19722,0,0.333333,3.2581,0.637145,0.071839,0.189766,0.270059,12.1364,C30,12,51
2011,2,4.7185,3.17805,1.42636,2.10217,2.19722,1,0.333333,3.29584,0.617201,0.074019,0.110496,0.786114,12.0064,C30,12,51
2012,2,4.5326,3.78419,0.494855,1.25362,2.19722,1,0.333333,3.3322,0.637145,0.075334,0.120384,0.623784,10.7333,C30,12,51
2013,2,4.21951,3.66356,1.734758,1.67289,2.19722,0,0.333333,3.3322,0.529213,0.086804,0.112665,0.763573,12.1448,C30,12,51
2014,2,4.45435,3.66356,1.946245,1.21767,2.19722,0,0.333333,3.3322,0.637145,0.084857,0.092006,0.590301,11.4052,C30,12,51
2015,2,4.93447,4.04305,2.295809,0.874766,1.60944,0,0.571429,3.3322,0.637145,0.090527,0.069798,0.517421,11.0691,C30,12,51
2016,2,5.03695,4.26268,2.758328,1.49705,1.94591,1,0.428571,3.3322,0.637145,0.085423,0.130686,0.53437,11.468,C30,12,51
2017,2,5.51745,4.68213,3.242791,1.2938,2.19722,0,0.333333,3.3322,0.590774,0.084502,0.126104,0.449836,11.5092,C30,12,51
2007,3,6.30445,5.31812,0.2011766,0.291142,1.94591,1,0.428571,3.29584,0.139217,0.034361,0.032466,0.03403,10.1182,C39,21,51
2008,3,6.51619,5.50939,0.2487143,0.314602,1.94591,1,0.428571,3.3322,0.127408,0.035439,0.034373,0.094256,10.2941,C39,21,51
2009,3,6.59167,5.59099,0.8512615,0.273329,1.94591,0,0.428571,3.3322,0.105665,0.034384,0.021676,0.097238,9.58808,C39,21,51
2010,3,6.66441,5.65948,2.142349,0.067397,1.94591,0,0.428571,3.3322,0.090386,0.031558,-0.026283,0.557679,9.07917,C39,21,51
2011,3,6.11368,5.4848,2.602047,-0.029428,1.94591,0,0.428571,3.3322,0.105241,0.035857,-0.081063,1.01539,6.86347,C39,21,51
2012,3,5.57595,4.85203,2.685868,0.178586,1.94591,0,0.428571,3.3322,0.11398,0.035754,-0.02169,1.21414,9.12507,C39,21,51
2013,3,5.62402,4.69135,2.971976,0.061362,1.94591,0,0.428571,3.3322,0.121227,0.033708,0.14503,1.5557,9.80951,C39,21,51
2014,3,5.16479,4.51086,3.016278,-0.211937,1.94591,0,0.428571,3.3322,0.106303,0.035366,-0.038165,1.37548,9.13108,C39,21,51
2016,3,5.10595,4.43082,3.852289,-0.05545,1.94591,1,0.428571,3.3322,0.091282,0.029931,-0.056378,1.36172,7.92786,C39,21,51
2017,3,5.26786,4.30407,4.470138,0.166221,1.94591,0,0.428571,3.3322,0.067371,0.024905,-0.137731,0.998167,13.2451,C39,21,51
2009,4,0,0,1.341676,0.423539,1.79176,1,0.5,2.83321,0.276809,0.058456,-0.131667,0,6.57134,C39,21,51
2010,4,0,0,1.501882,0.574332,1.94591,1,0.428571,2.89037,0.281892,0.042924,0.078248,0.027552,7.13128,C39,21,51
2011,4,0,0,1.282519,0.498976,1.94591,1,0.428571,2.94444,0.310555,0.042943,0.072071,0.008977,7.28183,C39,21,51
2012,4,0.693147,0,1.593467,0.457622,1.94591,1,0.428571,2.99573,0.297432,0.06295,0.027022,0,6.13819,C39,21,51
2014,4,0,0,2.105472,0.721439,1.94591,1,0.428571,3.09104,0.160344,0.056416,0.102768,0.357758,6.97013,C39,21,51
2016,4,1.94591,0,2.555596,0.3675,1.79176,1,0.5,3.17805,0.128929,0.081176,-0.029556,0.224497,6.76654,C39,21,51
2017,4,2.56495,0,3.074555,0.249801,1.79176,1,0.5,3.21888,0.13278,0.049861,0.018615,0.186608,5.53382,C39,21,51
2007,5,1.94591,1.09861,0.2011766,0.122284,2.07944,0,0.375,2.63906,0.162393,0.012291,-0.014388,0.018849,11.3156,C39,21,51
