co2,density,fdi,trade,gdp1,gdp2
0.22347887,59.752281,24258330,46.709895,512.0551,2.00E+10
1.5445501,103.57113,-1.02E+09,59.829729,5343.0377,1.52E+10
3.7182234,18.243657,-1.13E+09,40.389757,3794.4095,1.65E+11
0.59274297,26.813577,1.96E+09,65.942029,1450.9051,4.85E+10
5.1217301,210.6,-1.05E+08,94.34572,15224.859,1.41E+09
3.4056175,16.580893,-3.71E+09,30.203699,8500.8379,3.86E+11
2.4046838,98.546119,-85861619,69.488808,4505.8677,1.26E+10
14.776137,3.334527,-8.03E+09,44.143046,51868.248,1.33E+12
6.6326457,108.057,1.36E+10,99.708295,48789.498,4.35E+11
3.3988496,122.12474,3.18E+08,72.017868,4229.9106,4.27E+10
6.0422515,40.606494,-3.75E+08,57.930148,24499.165,9.96E+09
21.976908,1882.1261,-1.23E+09,140.21801,23433.187,3.46E+10
0.51064756,1286.1716,-1.52E+09,26.271447,2233.7673,3.74E+11
5.8424073,46.211213,-1.31E+09,118.93388,6542.8645,6.14E+10
7.3981307,381.06354,5.63E+09,155.33508,45587.968,5.26E+11
1.7411077,17.313503,-71774622,81.625472,5185.1581,2.05E+09
0.63120481,112.12418,-1.53E+08,44.833233,1240.7332,1.57E+10
1.3400543,20.254483,2786960.9,71.830356,3181.3397,2.46E+09
1.5394647,11.018335,1.02E+09,45.503263,3068.8126,3.66E+10
6.3123059,64.812637,-4.00E+08,82.111265,6095.1042,2.02E+10
2.2634631,4.4931484,-1.00E+08,77.663213,5875.0704,1.50E+10
1.9425234,25.507625,-4.17E+10,32.302079,6923.6999,1.48E+12
21.705812,83.818786,-5.66E+08,110.291,27179.353,1.20E+10
4.9232804,63.872651,-3.16E+09,110.32859,10148.342,7.04E+10
0.25353319,78.664569,91638973,60.739779,823.55241,1.77E+10
1.0651517,144.57568,-63660002,78.393455,3126.3999,1.82E+09
1.1375837,92.889531,-3.50E+09,123.99074,1577.9117,2.59E+10
0.37478266,56.040886,-5.91E+08,33.738831,1539.1305,4.08E+10
13.591696,4.2416214,1.83E+10,61.156771,43537.839,1.66E+12
4.3951511,25.957612,-5.05E+09,58.182864,13162.591,2.54E+11
7.7561379,150.30554,-9.94E+10,34.754296,10408.72,1.47E+13
1.5522594,45.904157,-5.73E+09,34.055571,5308.1647,2.70E+11
0.40711218,433.18968,-3875846.1,33.729935,1519.5868,1.23E+09
0.03258478,40.957705,-1.50E+09,58.491757,524.66669,4.87E+10
1.2545917,16.697435,1.00E+09,69.306621,2011.2834,1.15E+10
1.3599956,100.335,-1.64E+09,60.139886,12179.257,6.24E+10
0.40634736,84.313805,-7.12E+08,41.942632,2350.7514,6.30E+10
3.8607054,72.331665,-8.23E+08,89.136806,14383.87,5.82E+10
5.471998,133.93258,-8.62E+09,162.73118,28281.412,2.52E+10
8.3040175,138.57593,-6.43E+09,133.14832,22992.879,2.46E+11
